MemberName,LastName,FirstName,PartyAffiliation,State,OfficeAddress,OfficePhone,ContactFormURL,OfficialWebSite,Class,BioGuideURL,LeadershipPosition
King (I-ME),King,"Angus S., Jr.",Independent,Maine,133 Hart Senate Office Building Washington DC 20510,(202) 224-5344,"URL[""https://www.king.senate.gov/contact""]","URL[""http://www.king.senate.gov/""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=K000383""]",None
Klobuchar (D-MN),Klobuchar,Amy,Democrat,Minnesota,425 Dirksen Senate Office Building Washington DC 20510,(202) 224-3244,"URL[""http://www.klobuchar.senate.gov/public/index.cfm/contact""]","URL[""http://www.klobuchar.senate.gov/""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=K000367""]",None
Lankford (R-OK),Lankford,James,Republican,Oklahoma,316 Hart Senate Office Building Washington DC 20510,(202) 224-5754,"URL[""http://www.lankford.senate.gov/contact/email""]","URL[""http://www.lankford.senate.gov""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=L000575""]",None
Leahy (D-VT),Leahy,Patrick J.,Democrat,Vermont,437 Russell Senate Office Building Washington DC 20510,(202) 224-4242,"URL[""https://www.leahy.senate.gov/contact/""]","URL[""http://www.leahy.senate.gov/""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=L000174""]",None
Lee (R-UT),Lee,Mike,Republican,Utah,361A Russell Senate Office Building Washington DC 20510,(202) 224-5444,"URL[""https://www.lee.senate.gov/public/index.cfm/contact""]","URL[""http://www.lee.senate.gov/""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=L000577""]",None
Loeffler (R-GA),Loeffler,Kelly,Republican,Georgia,B85 Russell Senate Office Building Washington DC 20510,(202) 224-3643,"URL[""https://www.loeffler.senate.gov""]","URL[""https://www.loeffler.senate.gov""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=L000594""]",None
Manchin (D-WV),Manchin,"Joe, III",Democrat,West Virginia,306 Hart Senate Office Building Washington DC 20510,(202) 224-3954,"URL[""http://www.manchin.senate.gov/public/index.cfm/contact-form""]","URL[""http://www.manchin.senate.gov/""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=M001183""]",None
Markey (D-MA),Markey,Edward J.,Democrat,Massachusetts,255 Dirksen Senate Office Building Washington DC 20510,(202) 224-2742,"URL[""https://www.markey.senate.gov/contact""]","URL[""http://www.markey.senate.gov/""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=M000133""]",None
McConnell (R-KY),McConnell,Mitch,Republican,Kentucky,317 Russell Senate Office Building Washington DC 20510,(202) 224-2541,"URL[""http://www.mcconnell.senate.gov/public/index.cfm?p=contact""]","URL[""http://www.mcconnell.senate.gov/""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=M000355""]",Majority Leader
McSally (R-AZ),McSally,Martha,Republican,Arizona,404 Russell Senate Office Building Washington DC 20510,202-224-2235,"URL[""https://www.mcsally.senate.gov/contact_martha""]","URL[""https://www.mcsally.senate.gov""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=M001197""]",None
Menendez (D-NJ),Menendez,Robert,Democrat,New Jersey,528 Hart Senate Office Building Washington DC 20510,(202) 224-4744,"URL[""https://www.menendez.senate.gov/contact""]","URL[""http://www.menendez.senate.gov/""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=M000639""]",None
Merkley (D-OR),Merkley,Jeff,Democrat,Oregon,313 Hart Senate Office Building Washington DC 20510,(202) 224-3753,"URL[""http://www.merkley.senate.gov/contact/""]","URL[""http://www.merkley.senate.gov""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=M001176""]",None
Moran (R-KS),Moran,Jerry,Republican,Kansas,521 Dirksen Senate Office Building Washington DC 20510,(202) 224-6521,"URL[""https://www.moran.senate.gov/public/index.cfm/e-mail-jerry""]","URL[""http://www.moran.senate.gov""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=M000934""]",None
Murkowski (R-AK),Murkowski,Lisa,Republican,Alaska,522 Hart Senate Office Building Washington DC 20510,(202) 224-6665,"URL[""https://www.murkowski.senate.gov/public/index.cfm/contact""]","URL[""http://www.murkowski.senate.gov/""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=M001153""]",None
Murphy (D-CT),Murphy,Christopher,Democrat,Connecticut,136 Hart Senate Office Building Washington DC 20510,(202) 224-4041,"URL[""http://www.murphy.senate.gov/contact""]","URL[""http://www.murphy.senate.gov/""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=M001169""]",None
Murray (D-WA),Murray,Patty,Democrat,Washington,154 Russell Senate Office Building Washington DC 20510,(202) 224-2621,"URL[""http://www.murray.senate.gov/public/index.cfm/contactme""]","URL[""http://www.murray.senate.gov/""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=M001111""]",Assistant Democratic Leader
Paul (R-KY),Paul,Rand,Republican,Kentucky,167 Russell Senate Office Building Washington DC 20510,(202) 224-4343,"URL[""https://www.paul.senate.gov/connect/email-rand""]","URL[""http://www.paul.senate.gov""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=P000603""]",None
Perdue (R-GA),Perdue,David,Republican,Georgia,455 Russell Senate Office Building Washington DC 20510,(202) 224-3521,"URL[""https://www.perdue.senate.gov/connect/email""]","URL[""http://www.perdue.senate.gov""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=P000612""]",None
Peters (D-MI),Peters,Gary C.,Democrat,Michigan,724 Hart Senate Office Building Washington DC 20510,(202) 224-6221,"URL[""https://www.peters.senate.gov/contact/email-gary""]","URL[""http://www.peters.senate.gov""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=P000595""]",None
Portman (R-OH),Portman,Rob,Republican,Ohio,448 Russell Senate Office Building Washington DC 20510,(202) 224-3353,"URL[""https://www.portman.senate.gov/public/index.cfm/contact?p=contact-form""]","URL[""http://www.portman.senate.gov""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=P000449""]",None
Reed (D-RI),Reed,Jack,Democrat,Rhode Island,728 Hart Senate Office Building Washington DC 20510,(202) 224-4642,"URL[""https://www.reed.senate.gov/contact/""]","URL[""http://www.reed.senate.gov/""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=R000122""]",None
Risch (R-ID),Risch,James E.,Republican,Idaho,483 Russell Senate Office Building Washington DC 20510,(202) 224-2752,"URL[""http://www.risch.senate.gov/public/index.cfm?p=Email""]","URL[""http://www.risch.senate.gov""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=R000584""]",None
Roberts (R-KS),Roberts,Pat,Republican,Kansas,109 Hart Senate Office Building Washington DC 20510,(202) 224-4774,"URL[""https://www.roberts.senate.gov/public/?p=EmailPat""]","URL[""http://www.roberts.senate.gov/""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=R000307""]",None
Romney (R-UT),Romney,Mitt,Republican,Utah,124 Russell Senate Office Building Washington DC 20510,(202) 224-5251,"URL[""https://www.romney.senate.gov/contact-senator-romney""]","URL[""https://www.romney.senate.gov""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=R000615""]",None
Rosen (D-NV),Rosen,Jacky,Democrat,Nevada,144 Russell Senate Office Building Washington DC 20510,(202) 224-6244,"URL[""https://www.rosen.senate.gov/contact_jacky""]","URL[""https://www.rosen.senate.gov""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=R000608""]",None
Rounds (R-SD),Rounds,Mike,Republican,South Dakota,502 Hart Senate Office Building Washington DC 20510,(202) 224-5842,"URL[""https://www.rounds.senate.gov/contact/email-mike""]","URL[""http://www.rounds.senate.gov""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=R000605""]",None
Rubio (R-FL),Rubio,Marco,Republican,Florida,284 Russell Senate Office Building Washington DC 20510,(202) 224-3041,"URL[""http://www.rubio.senate.gov/public/index.cfm/contact""]","URL[""http://www.rubio.senate.gov""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=R000595""]",None
Sanders (I-VT),Sanders,Bernard,Independent,Vermont,332 Dirksen Senate Office Building Washington DC 20510,(202) 224-5141,"URL[""http://www.sanders.senate.gov/contact/""]","URL[""http://www.sanders.senate.gov/""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=S000033""]",None
Sasse (R-NE),Sasse,Ben,Republican,Nebraska,107 Russell Senate Office Building Washington DC 20510,(202) 224-4224,"URL[""http://www.sasse.senate.gov/public/index.cfm/email-ben""]","URL[""http://www.sasse.senate.gov""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=S001197""]",None
Schatz (D-HI),Schatz,Brian,Democrat,Hawaii,722 Hart Senate Office Building Washington DC 20510,(202) 224-3934,"URL[""https://www.schatz.senate.gov/contact""]","URL[""http://www.schatz.senate.gov""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=S001194""]",None
Schumer (D-NY),Schumer,Charles E.,Democrat,New York,322 Hart Senate Office Building Washington DC 20510,(202) 224-6542,"URL[""https://www.schumer.senate.gov/contact/email-chuck""]","URL[""http://www.schumer.senate.gov/""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=S000148""]",Democratic Leader
Scott (R-FL),Scott,Rick,Republican,Florida,716 Hart Senate Office Building Washington DC 20510,(202) 224-5274,"URL[""https://www.rickscott.senate.gov/contact_rick""]","URL[""http://www.rickscott.senate.gov/""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=S001217""]",None
Scott (R-SC),Scott,Tim,Republican,South Carolina,104 Hart Senate Office Building Washington DC 20510,(202) 224-6121,"URL[""https://www.scott.senate.gov/contact/email-me""]","URL[""http://www.scott.senate.gov/""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=S001184""]",None
Shaheen (D-NH),Shaheen,Jeanne,Democrat,New Hampshire,506 Hart Senate Office Building Washington DC 20510,(202) 224-2841,"URL[""https://www.shaheen.senate.gov/contact/contact-jeanne""]","URL[""http://www.shaheen.senate.gov""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=S001181""]",None
Shelby (R-AL),Shelby,Richard C.,Republican,Alabama,304 Russell Senate Office Building Washington DC 20510,(202) 224-5744,"URL[""https://www.shelby.senate.gov/public/index.cfm/emailsenatorshelby""]","URL[""http://www.shelby.senate.gov/""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=S000320""]",None
Sinema (D-AZ),Sinema,Kyrsten,Democrat,Arizona,317 Hart Senate Office Building Washington DC 20510,(202) 224-4521,"URL[""https://www.sinema.senate.gov/contact-kyrsten""]","URL[""https://www.sinema.senate.gov""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=S001191""]",None
Smith (D-MN),Smith,Tina,Democrat,Minnesota,720 Hart Senate Office Building Washington DC 20510,(202) 224-5641,"URL[""https://www.smith.senate.gov/contact-tina""]","URL[""https://www.smith.senate.gov""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=S001203""]",None
Stabenow (D-MI),Stabenow,Debbie,Democrat,Michigan,731 Hart Senate Office Building Washington DC 20510,(202) 224-4822,"URL[""https://www.stabenow.senate.gov/contact""]","URL[""http://www.stabenow.senate.gov/""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=S000770""]",None
Sullivan (R-AK),Sullivan,Dan,Republican,Alaska,302 Hart Senate Office Building Washington DC 20510,(202) 224-3004,"URL[""https://www.sullivan.senate.gov/contact/email""]","URL[""http://www.sullivan.senate.gov""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=S001198""]",None
Tester (D-MT),Tester,Jon,Democrat,Montana,311 Hart Senate Office Building Washington DC 20510,(202) 224-2644,"URL[""https://www.tester.senate.gov/?p=email_senator""]","URL[""http://www.tester.senate.gov/""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=T000464""]",None
Thune (R-SD),Thune,John,Republican,South Dakota,511 Dirksen Senate Office Building Washington DC 20510,(202) 224-2321,"URL[""http://www.thune.senate.gov/public/index.cfm/contact""]","URL[""http://www.thune.senate.gov/""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=T000250""]",Assistant Majority Leader
Tillis (R-NC),Tillis,Thom,Republican,North Carolina,113 Dirksen Senate Office Building Washington DC 20510,(202) 224-6342,"URL[""https://www.tillis.senate.gov/public/index.cfm/email-me""]","URL[""http://www.tillis.senate.gov""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=T000476""]",None
Toomey (R-PA),Toomey,Patrick J.,Republican,Pennsylvania,248 Russell Senate Office Building Washington DC 20510,(202) 224-4254,"URL[""https://www.toomey.senate.gov/?p=contact""]","URL[""http://www.toomey.senate.gov/""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=T000461""]",None
Udall (D-NM),Udall,Tom,Democrat,New Mexico,531 Hart Senate Office Building Washington DC 20510,(202) 224-6621,"URL[""https://www.tomudall.senate.gov/?p=contact""]","URL[""http://www.tomudall.senate.gov""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=U000039""]",None
Van Hollen (D-MD),Van Hollen,Chris,Democrat,Maryland,110 Hart Senate Office Building Washington DC 20510,(202) 224-4654,"URL[""http://www.vanhollen.senate.gov/contact/email""]","URL[""http://www.vanhollen.senate.gov""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=V000128""]",None
Warner (D-VA),Warner,Mark R.,Democrat,Virginia,703 Hart Senate Office Building Washington DC 20510,(202) 224-2023,"URL[""http://www.warner.senate.gov/public/index.cfm?p=Contact""]","URL[""http://www.warner.senate.gov""]",Class II,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=W000805""]",None
Warren (D-MA),Warren,Elizabeth,Democrat,Massachusetts,309 Hart Senate Office Building Washington DC 20510,(202) 224-4543,"URL[""https://www.warren.senate.gov/?p=email_senator""]","URL[""http://www.warren.senate.gov""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=W000817""]",None
Whitehouse (D-RI),Whitehouse,Sheldon,Democrat,Rhode Island,530 Hart Senate Office Building Washington DC 20510,(202) 224-2921,"URL[""https://www.whitehouse.senate.gov/contact/email-sheldon""]","URL[""http://www.whitehouse.senate.gov/""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=W000802""]",None
Wicker (R-MS),Wicker,Roger F.,Republican,Mississippi,555 Dirksen Senate Office Building Washington DC 20510,(202) 224-6253,"URL[""https://www.wicker.senate.gov/public/index.cfm/contact""]","URL[""http://www.wicker.senate.gov""]",Class I,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=W000437""]",None
Wyden (D-OR),Wyden,Ron,Democrat,Oregon,221 Dirksen Senate Office Building Washington DC 20510,(202) 224-5244,"URL[""https://www.wyden.senate.gov/contact/""]","URL[""http://www.wyden.senate.gov/""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=W000779""]",None
Young (R-IN),Young,Todd,Republican,Indiana,185 Dirksen Senate Office Building Washington DC 20510,(202) 224-5623,"URL[""https://www.young.senate.gov/contact""]","URL[""http://www.young.senate.gov""]",Class III,"URL[""https://bioguideretro.congress.gov/Home/MemberDetails?memIndex=Y000064""]",None